project,download_count
boto3,1290021146
botocore,610565759
urllib3,528567665
requests,449196479
wheel,446320886
certifi,412192614
typing-extensions,407743153
idna,398510897
charset-normalizer,396839623
setuptools,393299588
python-dateutil,353014556
packaging,352584505
pip,343733410
s3transfer,336086127
aiobotocore,302105602
six,301940039
pyyaml,301439398
numpy,268654596
cryptography,258204810
fsspec,251307296
s3fs,249853994
google-api-core,240658390
importlib-metadata,224764514
cffi,221580113
pycparser,221125552
grpcio-status,218335122
zipp,218024670
pandas,209270424
attrs,204110287
click,196670932
protobuf,193391145
pyasn1,189144537
rsa,189096374
jmespath,186997501
pytz,183157898
pydantic,178692350
markupsafe,173773022
colorama,172534387
jinja2,168456126
tomli,166427114
platformdirs,162652272
awscli,157327628
pyjwt,155679573
filelock,140133501
pluggy,136585495
googleapis-common-protos,135323464
google-auth,131860020
cachetools,130131935
wrapt,129829708
pytest,127158764
jsonschema,121334052
exceptiongroup,121202901
pyparsing,120106872
virtualenv,119061976
iniconfig,116438996
pyarrow,116427224
sqlalchemy,115606451
flask,113539015
docutils,113155624
requests-oauthlib,112388954
pyasn1-modules,111072307
aiohttp,110019391
oauthlib,109567773
multidict,108175141
werkzeug,107164664
scipy,107120257
psutil,106096723
isodate,105087248
yarl,104564709
pygments,104481915
soupsieve,103212996
async-timeout,100038485
beautifulsoup4,99521472
frozenlist,98745694
greenlet,98403133
pillow,98298462
tqdm,97653901
grpcio,97358498
aiosignal,96678475
decorator,96204259
pyopenssl,92192262
tzdata,91798228
pydantic-core,90010644
coverage,89770148
lxml,88471754
importlib-resources,87021921
requests-toolbelt,84154992
tomlkit,83583187
azure-core,82476297
distlib,82405419
itsdangerous,81867548
openpyxl,80637483
asn1crypto,80566398
et-xmlfile,80158180
sniffio,79523152
more-itertools,79516624
proto-plus,76874601
h11,75310487
annotated-types,75098524
ptyprocess,74819962
pexpect,73842017
referencing,72398136
pynacl,71899640
rpds-py,71602691
anyio,71538048
mypy-extensions,71377665
msgpack,69452493
websocket-client,69346308
jsonschema-specifications,69127511
google-cloud-storage,68594642
wcwidth,68339334
pathspec,68325154
chardet,67965412
scikit-learn,67939172
deprecated,67818976
msal,65828073
poetry-core,65748117
matplotlib,65567308
tabulate,64748282
gitpython,64193869
psycopg2-binary,63877618
google-cloud-core,62771306
python-dotenv,61466144
google-resumable-media,60131311
httpcore,60033329
httpx,59880028
bcrypt,59873961
smmap,59458639
gitdb,58630267
poetry-plugin-export,57773268
paramiko,57482432
regex,57326570
dill,56745194
rich,56164226
kiwisolver,55871407
ruamel-yaml,55801211
threadpoolctl,55549809
keyring,55417849
cycler,55151298
pytest-cov,53653519
portalocker,53263237
sortedcontainers,52812715
networkx,52712112
tenacity,52327215
azure-storage-blob,52043349
joblib,51883427
prompt-toolkit,51610112
build,51423793
py,51253032
snowflake-connector-python,51007523
sqlparse,50806906
backoff,50563674
fonttools,50399081
tzlocal,50338083
markdown-it-py,50255170
mdurl,49871714
msal-extensions,49828307
jaraco-classes,49709626
py4j,49560360
google-crc32c,49041109
google-auth-oauthlib,48918738
jeepney,48816397
secretstorage,48777440
mccabe,48242804
pkginfo,47930194
trove-classifiers,47600011
azure-identity,47400731
traitlets,47311140
marshmallow,47243554
xmltodict,47047548
toml,46812090
fastjsonschema,46331725
nest-asyncio,45906880
ipython,45611585
defusedxml,45227903
shellingham,45086783
pyproject-hooks,44614285
cython,44068188
google-api-python-client,43881400
future,43725986
rapidfuzz,43697493
ruamel-yaml-clib,43342884
pymysql,43281762
pyrsistent,42908854
pycodestyle,42819410
docker,41911883
cloudpickle,41890882
awswrangler,41790152
jedi,41609522
httplib2,41171400
uritemplate,40987819
grpcio-tools,40790759
tornado,40560385
isort,40242265
termcolor,40024717
parso,39994057
scramp,39800368
google-cloud-bigquery,39629599
ply,39626268
redis,39568880
msrest,39160871
babel,39147373
markdown,39125235
gunicorn,39108462
matplotlib-inline,39042400
dnspython,38979774
google-auth-httplib2,38518059
cachecontrol,38373896
blinker,38341282
alembic,38318262
black,38164299
webencodings,38042626
azure-common,37943334
contourpy,36494429
installer,36323006
typedload,36104041
mako,35846019
jsonpointer,35678454
prometheus-client,35632528
requests-aws4auth,35114685
poetry,35046571
dulwich,34913417
crashtest,34823586
pycryptodomex,34501132
toolz,34187164
huggingface-hub,33936187
pyzmq,33766518
fastapi,33701863
datadog,33689623
asttokens,33657655
tb-nightly,33549771
distro,33547300
pyflakes,33438645
pkgutil-resolve-name,33387837
executing,33170985
python-json-logger,32884170
cleo,32572537
stack-data,32410470
appdirs,32289924
pure-eval,32063599
pg8000,31897380
redshift-connector,31811102
typing-inspect,31727855
jsonpath-ng,31711103
flake8,31568226
sentry-sdk,31409677
jupyter-core,31402826
setuptools-scm,30609783
pyspark,30449079
jupyter-client,30270988
pendulum,30210873
argcomplete,30049144
starlette,29701445
grpc-google-iam-v1,29553864
arrow,29432411
pycryptodome,29409694
torch,29130182
google-pasta,29011579
jsonpatch,28862403
sagemaker,28724628
tensorboard,28663765
uvicorn,28627291
multiprocess,28296488
aioitertools,28275257
asgiref,27898992
pytest-runner,27884862
ipykernel,27860832
pymongo,27821552
types-python-dateutil,27808679
websockets,27751079
types-requests,27719280
mpmath,27518757
bs4,27395685
sympy,27336096
debugpy,27264320
jupyter-server,27226519
pyodbc,27040427
absl-py,26978625
zope-interface,26611846
mypy,26556677
rfc3339-validator,26527700
nbconvert,26490420
nbformat,26416934
opensearch-py,26284448
loguru,26242302
oscrypto,26080152
transformers,26065773
opentelemetry-api,25824991
kubernetes,25745295
progressbar2,25665572
elasticsearch,25485897
humanfriendly,25330142
contextlib2,25234406
apache-airflow,25202987
notebook,25100939
adal,24935137
astroid,24539830
pylint,24390215
mistune,24238399
typer,24207093
smart-open,24155404
altair,24102400
python-utils,24001431
comm,23818726
aenum,23722794
pygithub,23709329
bleach,23524641
tokenizers,23490349
asynctest,23263184
pytzdata,23146433
tinycss2,23126821
execnet,22918606
openai,22915567
tensorflow,22913821
xlrd,22847517
pytest-xdist,22643618
retry,22609227
google-cloud-pubsub,22553353
orjson,22530245
shapely,22408246
imageio,22311596
pysocks,22228332
pbr,22157929
requests-file,22118566
sentencepiece,22006950
snowflake-sqlalchemy,21978450
